being verbose
Found 8792 vehicle images, 8968 non-vehicle images
color:RGB orien:6 pixel:8 cells:2 chans:ALL t_hog:98.36 t_trn:29.84 accur:0.9276
color:RGB orien:6 pixel:16 cells:2 chans:ALL t_hog:59.85 t_trn:14.54 accur:0.9386
color:RGB orien:6 pixel:32 cells:2 chans:ALL t_hog:35.41 t_trn:3.66 accur:0.8761
color:RGB orien:7 pixel:8 cells:2 chans:ALL t_hog:100.69 t_trn:23.95 accur:0.9341
color:RGB orien:7 pixel:16 cells:2 chans:ALL t_hog:46.09 t_trn:12.2 accur:0.9505
color:RGB orien:7 pixel:32 cells:2 chans:ALL t_hog:33.59 t_trn:3.29 accur:0.924
color:RGB orien:8 pixel:8 cells:2 chans:ALL t_hog:94.56 t_trn:23.55 accur:0.9423
color:RGB orien:8 pixel:16 cells:2 chans:ALL t_hog:47.05 t_trn:11.7 accur:0.9544
color:RGB orien:8 pixel:32 cells:2 chans:ALL t_hog:34.32 t_trn:3.28 accur:0.9088
color:RGB orien:9 pixel:8 cells:2 chans:ALL t_hog:96.86 t_trn:27.83 accur:0.9383
color:RGB orien:9 pixel:16 cells:2 chans:ALL t_hog:50.31 t_trn:14.57 accur:0.9468
color:RGB orien:9 pixel:32 cells:2 chans:ALL t_hog:36.21 t_trn:4.26 accur:0.9209
color:RGB orien:10 pixel:8 cells:2 chans:ALL t_hog:101.41 t_trn:28.59 accur:0.9358
color:RGB orien:10 pixel:16 cells:2 chans:ALL t_hog:50.25 t_trn:12.83 accur:0.9552
color:RGB orien:10 pixel:32 cells:2 chans:ALL t_hog:37.58 t_trn:4.34 accur:0.9307
color:RGB orien:11 pixel:8 cells:2 chans:ALL t_hog:101.43 t_trn:32.41 accur:0.9431
color:RGB orien:11 pixel:16 cells:2 chans:ALL t_hog:62.79 t_trn:14.29 accur:0.9465
color:RGB orien:11 pixel:32 cells:2 chans:ALL t_hog:37.94 t_trn:4.65 accur:0.9195
color:RGB orien:12 pixel:8 cells:2 chans:ALL t_hog:97.1 t_trn:32.29 accur:0.9443
color:RGB orien:12 pixel:16 cells:2 chans:ALL t_hog:48.38 t_trn:10.44 accur:0.9544
color:RGB orien:12 pixel:32 cells:2 chans:ALL t_hog:36.23 t_trn:3.91 accur:0.9116
color:HSV orien:6 pixel:8 cells:2 chans:ALL t_hog:93.94 t_trn:20.7 accur:0.9398
color:HSV orien:6 pixel:16 cells:2 chans:ALL t_hog:47.61 t_trn:11.34 accur:0.9358
color:HSV orien:6 pixel:32 cells:2 chans:ALL t_hog:35.65 t_trn:3.63 accur:0.8986
color:HSV orien:7 pixel:8 cells:2 chans:ALL t_hog:99.9 t_trn:21.42 accur:0.9499
color:HSV orien:7 pixel:16 cells:2 chans:ALL t_hog:48.86 t_trn:9.12 accur:0.9623
color:HSV orien:7 pixel:32 cells:2 chans:ALL t_hog:36.08 t_trn:3.1 accur:0.9184
color:HSV orien:8 pixel:8 cells:2 chans:ALL t_hog:99.97 t_trn:21.22 accur:0.9516
color:HSV orien:8 pixel:16 cells:2 chans:ALL t_hog:49.59 t_trn:11.63 accur:0.9575
color:HSV orien:8 pixel:32 cells:2 chans:ALL t_hog:37.0 t_trn:3.98 accur:0.9153
color:HSV orien:9 pixel:8 cells:2 chans:ALL t_hog:101.62 t_trn:25.57 accur:0.9535
color:HSV orien:9 pixel:16 cells:2 chans:ALL t_hog:51.01 t_trn:12.94 accur:0.96
color:HSV orien:9 pixel:32 cells:2 chans:ALL t_hog:38.23 t_trn:3.85 accur:0.9409
color:HSV orien:10 pixel:8 cells:2 chans:ALL t_hog:104.21 t_trn:25.74 accur:0.9496
color:HSV orien:10 pixel:16 cells:2 chans:ALL t_hog:51.21 t_trn:10.88 accur:0.9589
color:HSV orien:10 pixel:32 cells:2 chans:ALL t_hog:38.2 t_trn:4.18 accur:0.9274
color:HSV orien:11 pixel:8 cells:2 chans:ALL t_hog:104.11 t_trn:31.17 accur:0.949
color:HSV orien:11 pixel:16 cells:2 chans:ALL t_hog:54.43 t_trn:13.88 accur:0.9611
color:HSV orien:11 pixel:32 cells:2 chans:ALL t_hog:38.14 t_trn:4.22 accur:0.9414
color:HSV orien:12 pixel:8 cells:2 chans:ALL t_hog:104.39 t_trn:30.27 accur:0.9583
color:HSV orien:12 pixel:16 cells:2 chans:ALL t_hog:63.16 t_trn:10.6 accur:0.9606
color:HSV orien:12 pixel:32 cells:2 chans:ALL t_hog:39.74 t_trn:4.43 accur:0.9226
color:LUV orien:6 pixel:8 cells:2 chans:ALL t_hog:102.34 t_trn:20.29 accur:0.964
color:LUV orien:6 pixel:16 cells:2 chans:ALL t_hog:46.67 t_trn:3.6 accur:0.9797
color:LUV orien:6 pixel:32 cells:2 chans:ALL t_hog:34.49 t_trn:0.78 accur:0.9361
color:LUV orien:7 pixel:8 cells:2 chans:ALL t_hog:93.07 t_trn:20.49 accur:0.9648
color:LUV orien:7 pixel:16 cells:2 chans:ALL t_hog:47.08 t_trn:4.1 accur:0.9803
color:LUV orien:7 pixel:32 cells:2 chans:ALL t_hog:35.16 t_trn:0.79 accur:0.9471
color:LUV orien:8 pixel:8 cells:2 chans:ALL t_hog:94.51 t_trn:21.33 accur:0.9657
color:LUV orien:8 pixel:16 cells:2 chans:ALL t_hog:48.01 t_trn:4.28 accur:0.98
color:LUV orien:8 pixel:32 cells:2 chans:ALL t_hog:36.24 t_trn:1.14 accur:0.9471
color:LUV orien:9 pixel:8 cells:2 chans:ALL t_hog:95.69 t_trn:22.38 accur:0.9634
color:LUV orien:9 pixel:16 cells:2 chans:ALL t_hog:48.7 t_trn:4.74 accur:0.9817
color:LUV orien:9 pixel:32 cells:2 chans:ALL t_hog:36.62 t_trn:1.02 accur:0.9499
color:LUV orien:10 pixel:8 cells:2 chans:ALL t_hog:96.12 t_trn:24.06 accur:0.9685
color:LUV orien:10 pixel:16 cells:2 chans:ALL t_hog:49.36 t_trn:4.46 accur:0.9786
color:LUV orien:10 pixel:32 cells:2 chans:ALL t_hog:37.27 t_trn:2.21 accur:0.9524
color:LUV orien:11 pixel:8 cells:2 chans:ALL t_hog:97.18 t_trn:24.36 accur:0.969
color:LUV orien:11 pixel:16 cells:2 chans:ALL t_hog:50.11 t_trn:4.97 accur:0.9789
color:LUV orien:11 pixel:32 cells:2 chans:ALL t_hog:37.82 t_trn:2.41 accur:0.9507
color:LUV orien:12 pixel:8 cells:2 chans:ALL t_hog:97.97 t_trn:26.79 accur:0.9682
color:LUV orien:12 pixel:16 cells:2 chans:ALL t_hog:50.75 t_trn:5.11 accur:0.9797
color:LUV orien:12 pixel:32 cells:2 chans:ALL t_hog:38.74 t_trn:1.18 accur:0.955
color:HLS orien:6 pixel:8 cells:2 chans:ALL t_hog:93.22 t_trn:20.5 accur:0.9392
color:HLS orien:6 pixel:16 cells:2 chans:ALL t_hog:45.41 t_trn:10.07 accur:0.951
color:HLS orien:6 pixel:32 cells:2 chans:ALL t_hog:34.0 t_trn:3.11 accur:0.9054
color:HLS orien:7 pixel:8 cells:2 chans:ALL t_hog:92.75 t_trn:21.91 accur:0.9412
color:HLS orien:7 pixel:16 cells:2 chans:ALL t_hog:45.71 t_trn:10.49 accur:0.9561
color:HLS orien:7 pixel:32 cells:2 chans:ALL t_hog:33.93 t_trn:3.18 accur:0.9158
color:HLS orien:8 pixel:8 cells:2 chans:ALL t_hog:94.36 t_trn:19.66 accur:0.9403
color:HLS orien:8 pixel:16 cells:2 chans:ALL t_hog:46.6 t_trn:11.89 accur:0.9457
color:HLS orien:8 pixel:32 cells:2 chans:ALL t_hog:34.62 t_trn:3.56 accur:0.9093
color:HLS orien:9 pixel:8 cells:2 chans:ALL t_hog:95.64 t_trn:24.18 accur:0.9367
color:HLS orien:9 pixel:16 cells:2 chans:ALL t_hog:47.43 t_trn:12.64 accur:0.9572
color:HLS orien:9 pixel:32 cells:2 chans:ALL t_hog:35.29 t_trn:3.82 accur:0.9141
color:HLS orien:10 pixel:8 cells:2 chans:ALL t_hog:96.23 t_trn:24.37 accur:0.9476
color:HLS orien:10 pixel:16 cells:2 chans:ALL t_hog:48.04 t_trn:13.74 accur:0.9406
color:HLS orien:10 pixel:32 cells:2 chans:ALL t_hog:36.13 t_trn:3.99 accur:0.8809
color:HLS orien:11 pixel:8 cells:2 chans:ALL t_hog:96.57 t_trn:29.43 accur:0.9409
color:HLS orien:11 pixel:16 cells:2 chans:ALL t_hog:48.83 t_trn:14.75 accur:0.9485
color:HLS orien:11 pixel:32 cells:2 chans:ALL t_hog:36.69 t_trn:4.52 accur:0.9153
color:HLS orien:12 pixel:8 cells:2 chans:ALL t_hog:97.83 t_trn:30.57 accur:0.9445
color:HLS orien:12 pixel:16 cells:2 chans:ALL t_hog:49.58 t_trn:12.54 accur:0.9519
color:HLS orien:12 pixel:32 cells:2 chans:ALL t_hog:37.18 t_trn:4.33 accur:0.9217
color:YUV orien:6 pixel:8 cells:2 chans:ALL t_hog:91.45 t_trn:14.87 accur:0.96
color:YUV orien:6 pixel:16 cells:2 chans:ALL t_hog:46.41 t_trn:6.63 accur:0.9606
color:YUV orien:6 pixel:32 cells:2 chans:ALL t_hog:32.83 t_trn:2.37 accur:0.9268
color:YUV orien:7 pixel:8 cells:2 chans:ALL t_hog:91.36 t_trn:16.93 accur:0.9516
color:YUV orien:7 pixel:16 cells:2 chans:ALL t_hog:45.23 t_trn:9.27 accur:0.9645
color:YUV orien:7 pixel:32 cells:2 chans:ALL t_hog:33.49 t_trn:2.69 accur:0.9302
color:YUV orien:8 pixel:8 cells:2 chans:ALL t_hog:93.02 t_trn:17.98 accur:0.9592
color:YUV orien:8 pixel:16 cells:2 chans:ALL t_hog:46.2 t_trn:6.93 accur:0.9631
color:YUV orien:8 pixel:32 cells:2 chans:ALL t_hog:34.16 t_trn:2.64 accur:0.9386
